max_score	lower_diff_matches	cum_lower_diff_matches	rel_cum_lower_matches	total_matches
0.5	313955070397	313955070397	0.684079586424774	458945240623
1	0	313955070395	0.684079586423397	458945240621
1.5	0	313955070395	0.684079586423397	458945240621
2	93619379001	407574449396	0.888067711181643	458945240621
2.5	13707410266	421281857855	0.917934912983673	458945238814
3	1335644211	422617502063	0.920845160433268	458945238811
3.5	6109977259	428727479322	0.934158246052871	458945238811
4	5058602157	433786081479	0.945180480797272	458945238811
4.5	4182944460	437969025939	0.954294736935623	458945238811
5	7791666112	445760692051	0.971272069857054	458945238811
5.5	4799492772	450560184588	0.981729728771091	458945238576
6	1662784305	452222968832	0.985352784779397	458945238515
6.5	1338394784	453561363616	0.988269025480207	458945238515
7	1046088313	454607451929	0.990548356923724	458945238515
7.5	740156093	455347608022	0.992161089840172	458945238515
8	626469117	455974077139	0.993526109159311	458945238515
8.5	606428028	456580505166	0.994847460765348	458945238514
9	491911603	457072416769	0.995919291480038	458945238514
9.5	343720045	457416136686	0.996668226245516	458945238386
10	241311945	457657448592	0.997194023061143	458945238347
10.5	182296002	457839740259	0.997591229473425	458945234012
11	141100051	457980840310	0.997898673674919	458945234012
11.5	118178937	458099019247	0.998156174849878	458945234012
12	106231641	458205250888	0.998387643951477	458945234012
12.5	104039238	458309266949	0.998614335935998	458945210835
13	91920723	458401185175	0.998814622850143	458945208338
13.5	70191850	458471377025	0.998967564527548	458945208338
14	52630616	458523885629	0.999082241624217	458945086326
14.5	40627657	458564507944	0.999170765619311	458945080984
15	34282839	458598787880	0.999245464833291	458945078081
15.5	32298442	458631084929	0.99931584022806	458945076688
16	31613389	458662698318	0.999384722956311	458945076688
16.5	30675555	458693373873	0.999451562228717	458945076688
17	27278639	458720652467	0.999510999926959	458945076643
17.5	22261830	458742914297	0.999559506450143	458945076643
18	17920413	458760834665	0.999598553416531	458945076598
18.5	14539366	458775374031	0.999630233385969	458945076598
19	12765806	458788138754	0.999658048927044	458945075515
19.5	11734652	458799873406	0.999683617677263	458945075515
20	11455025	458811328431	0.999708577145424	458945075515
20.5	11126364	458822454795	0.999732820490856	458945075515
21	10391613	458832846408	0.99975546288001	458945075515
21.5	9192026	458841583971	0.999775491254775	458944621052
22	7788016	458849371987	0.999792460657276	458944621052
22.5	6501585	458855873572	0.999806627039671	458944621052
23	5657216	458861530788	0.999818953616213	458944621052
23.5	4984316	458866515040	0.999829814002762	458944620988
24	4808916	458871323347	0.999840292207937	458944620379
24.5	4563699	458875885315	0.999850236106477	458944618648
25	4449481	458880334796	0.999859931134634	458944618648
25.5	4157194	458884491990	0.999868989295098	458944618648
26	3856735	458888348725	0.999877392781801	458944618648
26.5	3381783	458891730508	0.999884761389826	458944618648
27	2998609	458894729117	0.999891295095371	458944618648
27.5	2657995	458897387112	0.999897086632938	458944618648
28	2327940	458899715052	0.999902159009659	458944618648
28.5	2285173	458902000211	0.999907138200843	458944618634
29	2118620	458904108606	0.999911754485709	458944608409
29.5	2096323	458906173941	0.99991632218379	458944577421
30	2081501	458908255442	0.99992085759199	458944577421
30.5	1847507	458910102949	0.999924883147778	458944577421
31	1787217	458911201912	0.999928777230133	458943889167
31.5	1572999	458912774299	0.999932204662104	458943888555
32	1436805	458914123415	0.999935335326583	458943800866
32.5	1294501	458915417916	0.999938155935549	458943800866
33	1264191	458916661427	0.999940910498909	458943780186
33.5	1247399	458917908826	0.999943628476696	458943780186
34	1338675	458919247501	0.99994654533723	458943780186
34.5	1139520	458920351635	0.999949028251795	458943744800
35	1100759	458921429624	0.999951426711098	458943722030
35.5	1097840	458922527097	0.999953818812635	458943721663
36	1003770	458923396299	0.999956005930646	458943587095
36.5	869113	458924265412	0.999957899655768	458943587095
37	877288	458924484287	0.999959811135879	458942928682
37.5	786412	458925270699	0.999961524664841	458942928682
38	705402	458925857021	0.999963061669896	458942809602
38.5	730196	458926434961	0.999964652697368	458942657346
39	706346	458927141307	0.999966191769818	458942657346
39.5	721484	458927862690	0.999967763826773	458942657245
