max_score	lower_diff_matches	cum_lower_diff_matches	rel_cum_lower_matches	total_matches
0.01	1047142980682	2094285887995	0.813893780130973	2573168562190
0.02	405421	2094286444861	0.813893997132486	2573168560328
0.03	42909744	2094331116874	0.813911357834652	2573168560328
0.04	6453581511	2101607975123	0.816739333569002	2573168560328
0.05	81765972952	2216535831229	0.861403277423248	2573168560328
0.06	46886315045	2350790875361	0.913578267519888	2573168560306
0.07	7684037094	2377747891768	0.924054462910324	2573168560086
0.08	1905790514	2382897709598	0.926055815604384	2573168560086
0.09	4723102330	2389977941547	0.928807377262189	2573168560086
0.1	18316773252	2418520878944	0.939899902750608	2573168559616
0.11	16290930402	2456022814696	0.954474127051559	2573168559616
0.12	6263441688	2472605812680	0.96091870990721	2573168559616
0.13	2434189581	2478799588974	0.96332577409425	2573168553810
0.14	2622932809	2483525373737	0.965162340131305	2573168544267
0.15	6862913026	2494635874052	0.969480168897753	2573168543394
0.16	7712699656	2510803052776	0.975763153675375	2573168543328
0.17	4328576928	2521060558364	0.979749494971525	2573168520426
0.18	2172001378	2526315923674	0.981791876508744	2573168493365
0.19	1528038136	2529485780051	0.983023774294064	2573168468756
0.2	2774301205	2534180269729	0.984848267268251	2573168226978
0.21	3584979447	2541280459376	0.987607585362015	2573168226978
0.22	2569943373	2546989202529	0.989826151245983	2573168226888
0.23	1511159934	2550519075054	0.991197951382529	2573168226888
0.24	881882885	2552508816850	0.991971219838994	2573168218796
0.25	1116759452	2554513756483	0.992750391452554	2573168218796
0.26	1543927006	2557462131299	0.993896231016691	2573168155274
0.27	1347235462	2560306212055	0.995001660831353	2573167777344
0.28	907823415	2562358537695	0.995799289553885	2573167670006
0.29	503039583	2563537490473	0.996257487816915	2573167601571
0.3	456587998	2564421581768	0.996601245424452	2573167145377
0.31	627531068	2565594910720	0.997057384804495	2573166750300
0.32	653144245	2566910667429	0.997568757161296	2573166660445
0.33	512392938	2568024799117	0.998002038525335	2573165885424
0.34	295652060	2568717792543	0.998272346840337	2573163326294
0.35	203483755	2569147823559	0.998439468379653	2573163326294
0.36	248729238	2569614375605	0.998620782966734	2573163326294
0.37	297217381	2570189728312	0.998844468881544	2573163098345
0.38	274289471	2570761425481	0.999066817398696	2573162656102
0.39	176723616	2571167567732	0.999224670731427	2573162616021
0.4	103384925	2571402456393	0.999315968431954	2573162580828
0.41	98309524	2571594552501	0.999390623239503	2573162577977
0.42	124530608	2571829600677	0.999481979487017	2573162551662
0.43	134197165	2572092666226	0.999586331215615	2573157100996
0.44	100786117	2572307224499	0.999672885558489	2573148938677
0.45	58026930	2572437017918	0.999725510832183	2573143317886
0.46	40735315	2572513171201	0.999759089371585	2573133066305
0.47	46984179	2572598504159	0.999793666270217	2573129427551
0.48	56523827	2572640777167	0.999836195360644	2573062256702
0.49	49255297	2572416273143	0.999876845317584	2572733117273
0.5	30476816	2572108339627	0.999904323944636	2572354452354
0.51	16977988	2570467915555	0.999919472606216	2570674925307
0.52	15502326	2570161728947	0.999931319219099	2570338261786
0.53	19438978	2569777995173	0.999945669650292	2569917619696
0.54	18945578	2567743501405	0.999960842439429	2567844051914
0.55	12381809	2566410413316	0.999971916955858	2566482487957
0.56	6119626	2564837751445	0.999977709709481	2564894923698
0.57	4331717	2564612903925	0.999981217970476	2564661073465
0.58	5406091	2558912061437	0.999985152001345	2558950056724
0.59	5611257	2558365082284	0.999989599328324	2558391691276
0.6	3753150	2557979313241	0.999992971070357	2557997293224
0.61	1702862	2557938950935	0.999994653094491	2557952628066
0.62	1068901	2557895354047	0.99999553744525	2557906768846
0.63	1256166	2557098237468	0.999996473168273	2557107255955
0.64	1306020	2503911853242	0.999997455646539	2503918224095
0.65	843958	2466012335466	0.999998213169876	2466016741819
0.66	378677	2462875051931	0.999998596990071	2462878507374
0.67	272580	2458297308837	0.999998823336142	2458300201430
0.68	293285	2414796337124	0.999999041186313	2414798652466
0.69	261466	2327285868320	0.999999239692606	2327287637774
0.7	156410	2309899004755	0.99999939615838	2309900399569
0.71	83624	2302468436570	0.999999475948357	2302469643183
0.72	101411	2301037529132	0.999999555883582	2301038551061
0.73	84891	2252945871449	0.999999629371615	2252946706455
0.74	67241	2205465718080	0.999999689756326	2205466402312
0.75	30410	2160834985725	0.999999716469406	2160835598388
0.76	28219	2160628145279	0.999999741905678	2160628702925
0.77	50798	2116764639329	0.999999779375615	2116765106339
0.78	38875	1962652427765	0.999999806632126	1962652807279
0.79	14581	1881523106673	0.999999819586622	1881523446125
0.8	11209	1857138422048	0.999999829829623	1857138738078
0.81	14050	1857134354640	0.99999984242715	1857134647274
0.82	42049	1198251884812	0.999999820359171	1198252100067
0.83	13115	1153228930928	0.999999846658397	1153229107766
0.84	4930	1152481445429	0.99999985673177	1152481610543
0.85	5475	1151733960239	0.99999986708651	1151734113320
0.86	16978	1143266224776	0.999999883831096	1143266357588
0.87	27777	973323791562	0.999999930723983	973323858990
0.88	3883	946297030974	0.999999940658171	946297087129
0.89	3776	937370974542	0.999999947075386	937371024152
0.9	396	936511040364	0.999999950531285	936511086692
0.91	15224	936511056985	0.999999968279073	936511086692
0.92	3092	935919086148	0.999999988830231	935919096602
0.93	866	935327098317	0.999999991238359	935327106512
0.94	544	935327099731	0.99999999275013	935327106512
0.95	49	935327099796	0.999999992819624	935327106512
0.96	2941	618106017801	0.999999997697806	618106019224
0.97	141	397889709947	0.999999998720751	397889710456
0.98	48	397889710002	0.99999999885898	397889710456
0.99	0	397889710048	0.99999999897459	397889710456
1	204	397889710252	0.999999999487295	397889710456
